Id,Designator,Package,Quantity,Designation,Supplier and ref
3,C8,CP_Radial_D8.0mm_P3.80mm,1,470uF,
5,J1,PinHeader_1x12_P2.54mm_Vertical,1,SCREEN_CONNECTOR,
7,"U2,U3",DIP-8_W7.62mm_LongPads,2,LM386,
8,SW1,SW_E-Switch_EG1224_SPDT_Angled,1,SW_SPDT,
11,H1,MountingHole_4.3mm_M4_Pad_Via,1,MNT1,
17,"F1,F2",Fuse_Littelfuse_395Series,2,Polyfuse,
18,LS1,PinSocket_1x02_P2.54mm_Vertical,1,Speaker,
19,MK1,PinSocket_1x02_P2.54mm_Vertical,1,Microphone,
20,BT1,BatteryHolder_BC2AAPC,1,Battery_Cell,
30,J4,CUI_SJ1-3545N,1,OUT,
31,J5,CUI_SJ1-3545N,1,MIC,
44,U1,SSOP-24_5.3x8.2mm_P0.65mm-HandSolder,1,MT8888CN1,
46,X1,Oscillator_DIP-14,1,CXO_DIP14,
51,U4,SOT-563,1,SN74LVC1GX04,
52,Y1,Crystal_HC49-U_Vertical,1,Crystal_Small,
