Designator,Package,Quantity,Designation,LCSC Part Number
"C22,C3,C4,C6,C9,C12,C18,C19,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C35",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,19,100nF,C14663
"D9,D2,D6,D10,D3,D7,D11,D4,D8,D12,D1,D5",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12,WS2812B,C2761795
"C1,C15,C20, C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,10uF,C15850
C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,47nF,C1622
"C11,C17,C21",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,3,100uF,C15008
"C13,C14",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,470pF,C1743
D42,D_SMA_Handsoldering,1,D,C95872
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,3.3k,C26010
R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,9.7k,C17414
R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,100k,C149504
"R5,R7,R15",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,10k,C17414
R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,374k,C17649
"R8,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,10R,C17415
R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,1M,C17514
R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,1k,C17513
"C33,C34",C_0402_Metric_Pad1.08x0.95mm_HandSolder,2,32pF,C1570
R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,2.2m,C26113
