Comment,Designator,Footprint,LCSC
Arduino_Nano_v2.x,A1,Module:Arduino_Nano,
3.3k,R1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100nF,"C3,C4,C6,C9,C12,C18,C19,C24,C30,C27,C22,C25,C31,C28,C23,C26,C32,C29,C35",Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
374k,R6,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100k,R4,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10k,"R5,R15,R7",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10nF,C2,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
LM386,"U2,U3",Package_DIP:DIP-8_W7.62mm_LongPads,
Speaker,LS1,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,
10R,"R8,R9",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
47nF,C10,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Microphone,MK1,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,
Polyfuse,"F1,F2",Fuse:Fuse_Littelfuse_395Series,
SCREEN_CONNECTOR,J1,Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical,
100uF,"C11,C21,C17",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
470pF,"C13,C14",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10uF,"C20,C15,C7,C1",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1M,R14,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
DEBUG_TELCO,J6,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,
Conn_01x04,J2,buggyboy:MT3608_MODULE,
CXO_DIP14,X1,Oscillator:Oscillator_DIP-14,
Battery_Cell,BT1,buggyboy:BatteryHolder_BC2AAPC,
MIC,J5,buggyboy:CUI_SJ1-3545N,
OUT,J4,buggyboy:CUI_SJ1-3545N,
DEPOP,"C5,C16",Capacitor_THT:CP_Radial_D8.0mm_P3.80mm,
470uF,C8,Capacitor_THT:CP_Radial_D8.0mm_P3.80mm,
9.7k,R2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
D,D42,Diode_SMD:D_SMA_Handsoldering,
DZener,D41,Diode_SMD:D_SMB_Handsoldering,
WS2812B,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12",LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
1k,R3,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
SW_SPDT,SW1,Button_Switch_THT:SW_E-Switch_EG1224_SPDT_Angled,
SN74LVC1GX04,U4,Package_TO_SOT_SMD:SOT-563,
2.2m,R10,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Crystal_Small,Y1,Crystal:Crystal_HC49-U_Vertical,
32pF,"C33,C34",Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
MT8888CS1,U1,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,
